Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2012/3/22, 17:00:00, 13008, 13041, 12932, 13032, 85524, 62653, 41147, 44377
2012/3/24, 17:00:00, 13032, 13032, 13032, 13032, 18, 3, 0, 18
2012/3/25, 17:00:00, 13030, 13204, 13021, 13196, 98898, 69166, 47442, 51456
2012/3/26, 17:00:00, 13198, 13245, 13120, 13121, 84629, 61964, 41089, 43540
2012/3/27, 17:00:00, 13117, 13177, 13003, 13051, 117701, 81287, 61389, 56312
2012/3/28, 17:00:00, 13058, 13087, 12965, 13087, 108297, 80845, 54323, 53974
2012/3/29, 17:00:00, 13081, 13158, 13067, 13146, 88122, 66728, 43654, 44468
2012/3/31, 17:00:00, 13146, 13146, 13146, 13146, 2, 2, 0, 2
2012/4/1, 17:00:00, 13171, 13229, 13082, 13181, 111355, 81066, 55409, 55946
2012/4/2, 17:00:00, 13180, 13200, 13063, 13128, 110276, 82569, 55568, 54708
2012/4/3, 17:00:00, 13124, 13128, 12951, 12999, 116891, 86481, 57670, 59221
2012/4/4, 17:00:00, 12994, 13038, 12929, 12985, 93852, 68011, 47139, 46713
2012/4/5, 17:00:00, 12981, 13012, 12831, 12858, 8713, 5471, 4662, 4051
2012/4/7, 17:00:00, 12858, 12858, 12858, 12858, 4, 4, 0, 4
2012/4/8, 17:00:00, 12860, 12916, 12825, 12857, 75535, 53064, 40058, 35477
2012/4/9, 17:00:00, 12859, 12899, 12648, 12699, 163885, 111125, 82812, 81073
2012/4/10, 17:00:00, 12702, 12785, 12691, 12753, 113406, 79083, 56341, 57065
2012/4/11, 17:00:00, 12751, 12955, 12737, 12944, 121523, 83075, 60720, 60803
2012/4/12, 17:00:00, 12936, 12971, 12775, 12783, 131650, 86306, 65621, 66027
2012/4/14, 17:00:00, 12783, 12783, 12783, 12783, 8, 4, 0, 8
2012/4/15, 17:00:00, 12790, 12925, 12748, 12854, 150729, 103033, 75303, 75426
2012/4/16, 17:00:00, 12855, 13070, 12816, 13024, 121683, 80732, 60992, 60691
2012/4/17, 17:00:00, 13022, 13049, 12952, 12966, 120082, 82906, 60673, 59409
2012/4/18, 17:00:00, 12970, 13057, 12837, 12915, 171176, 119915, 85665, 85511
2012/4/19, 17:00:00, 12907, 13027, 12876, 12990, 110440, 80080, 56454, 53986
2012/4/21, 17:00:00, 12990, 12990, 12990, 12990, 1, 1, 0, 1
2012/4/22, 17:00:00, 12967, 12978, 12786, 12887, 124443, 87745, 62658, 61785
2012/4/23, 17:00:00, 12884, 13002, 12871, 12989, 111803, 77292, 56218, 55585
2012/4/24, 17:00:00, 12984, 13056, 12973, 13042, 121069, 84782, 61422, 59647
2012/4/25, 17:00:00, 13039, 13172, 12998, 13145, 117818, 80778, 59930, 57888
2012/4/26, 17:00:00, 13123, 13211, 13088, 13166, 110370, 75523, 55470, 54899
2012/4/28, 17:00:00, 13166, 13166, 13166, 13166, 4, 4, 0, 4
2012/4/29, 17:00:00, 13177, 13198, 13119, 13176, 89938, 62377, 45279, 44659
2012/4/30, 17:00:00, 13176, 13284, 13105, 13224, 82516, 53957, 41733, 40783
2012/5/1, 17:00:00, 13221, 13252, 13135, 13207, 108843, 75569, 54944, 53899
2012/5/2, 17:00:00, 13202, 13248, 13118, 13149, 122256, 83348, 61026, 61230
2012/5/3, 17:00:00, 13142, 13168, 12952, 12952, 138708, 99589, 70009, 68699
2012/5/5, 17:00:00, 12952, 12952, 12952, 12952, 3, 3, 0, 3
2012/5/6, 17:00:00, 12870, 12992, 12779, 12962, 112709, 81035, 54832, 57877
2012/5/7, 17:00:00, 12962, 12975, 12755, 12881, 172565, 114997, 84829, 87736
2012/5/8, 17:00:00, 12877, 12879, 12700, 12771, 209238, 136653, 105245, 103993
2012/5/9, 17:00:00, 12747, 12892, 12747, 12788, 149623, 102491, 73777, 75846
2012/5/10, 17:00:00, 12747, 12883, 12737, 12789, 127920, 87703, 65225, 62695
2012/5/12, 17:00:00, 12789, 12789, 12789, 12789, 3, 3, 0, 3
2012/5/13, 17:00:00, 12752, 12798, 12627, 12652, 161327, 110233, 83941, 77386
2012/5/14, 17:00:00, 12659, 12759, 12573, 12614, 190640, 131524, 98566, 92074
2012/5/15, 17:00:00, 12625, 12704, 12545, 12585, 178489, 125367, 90881, 87608
2012/5/16, 17:00:00, 12571, 12644, 12408, 12432, 193753, 138031, 96763, 96990
2012/5/17, 17:00:00, 12438, 12480, 12318, 12333, 182688, 129120, 93079, 89609
2012/5/19, 17:00:00, 12333, 12333, 12333, 12333, 3, 3, 0, 3
2012/5/20, 17:00:00, 12335, 12493, 12305, 12480, 131512, 92220, 64531, 66981
